index,dateTime,calories,heart_rate,confidence,steps/min,distance/min,Voltage,Temperature
0,01/14/20 00:36:00,1.28,82,1,11,86.90869087,12.9,15.867
1,01/14/20 00:37:00,1.28,91,1,9,71.50715072,12.9,15.867
2,01/14/20 00:38:00,1.28,96,0,17,135.3135314,12.9,15.867
3,01/14/20 01:00:00,1.28,70,0,0,0,12.9,15.867
4,01/14/20 01:09:00,1.28,70,0,0,0,12.38,15.2274
5,01/14/20 01:15:00,1.28,70,0,0,0,12.38,15.2274
6,01/14/20 01:24:00,1.28,70,0,0,0,12.38,15.2274
7,01/14/20 02:12:00,1.28,85,1,0,0,12.38,15.2274
8,01/14/20 02:14:00,1.28,75,1,0,0,12.9,15.867
9,01/14/20 02:33:00,1.28,107,0,76,609.4609461,12.9,15.867
10,01/14/20 02:34:00,1.28,102,0,60,315.7315732,12.9,15.867
11,01/14/20 02:35:00,1.28,87,1,96,713.9713971,12.9,15.867
12,01/14/20 02:37:00,1.28,116,1,109,834.9834983,13.92,17.1216
13,01/14/20 02:38:00,1.28,115,1,111,877.8877888,13.92,17.1216
14,01/14/20 02:40:00,1.28,94,1,111,944.9944994,13.92,17.1216
15,01/14/20 02:43:00,1.28,84,1,106,900.990099,13.92,17.1216
16,01/14/20 02:45:00,1.28,94,1,106,830.5830583,13.15,16.1745
17,01/14/20 02:47:00,1.28,84,1,103,871.2871287,13.15,16.1745
18,01/14/20 02:48:00,1.28,91,1,109,922.9922992,13.15,16.1745
19,01/14/20 02:49:00,1.28,78,1,110,941.6941694,13.15,16.1745
20,01/14/20 02:51:00,1.28,83,1,108,917.4917492,13.92,17.1216
21,01/14/20 02:53:00,1.28,78,1,108,891.0891089,13.92,17.1216
22,01/14/20 02:54:00,1.28,84,2,111,887.7887789,13.92,17.1216
23,01/14/20 02:55:00,1.28,84,2,109,914.1914191,13.92,17.1216
24,01/14/20 02:56:00,1.28,86,1,109,917.4917492,13.41,16.4943
25,01/14/20 03:00:00,1.28,85,1,104,760.1760176,13.41,16.4943
26,01/14/20 03:01:00,1.28,97,1,89,606.1606161,13.41,16.4943
27,01/14/20 03:06:00,1.28,78,2,0,0,13.41,16.4943
28,01/14/20 03:07:00,1.28,74,3,0,0,14.44,17.7612
29,01/14/20 03:08:00,1.28,71,2,0,0,14.44,17.7612
30,01/14/20 03:26:00,1.28,116,1,106,845.9845985,14.44,17.7612
31,01/14/20 03:49:00,1.28,87,1,10,79.20792079,14.44,17.7612
32,01/14/20 03:50:00,1.28,88,1,27,215.6215622,12.13,14.9199
33,01/14/20 03:51:00,1.28,88,1,21,167.2167217,12.13,14.9199
34,01/14/20 04:55:00,1.66,82,3,0,0,12.13,14.9199
35,01/14/20 04:56:00,3.32,79,1,0,0,12.13,14.9199
36,01/14/20 05:24:00,7.41,76,2,0,0,12.64,15.5472
37,01/14/20 05:40:00,6.9,78,3,0,0,12.64,15.5472
38,01/14/20 06:34:00,1.28,69,2,55,438.9438944,12.64,15.5472
39,01/14/20 06:35:00,1.28,73,2,15,118.8118812,12.64,15.5472
40,01/14/20 06:52:00,1.28,85,2,0,0,12.9,15.867
41,01/14/20 06:55:00,1.28,95,2,0,0,12.9,15.867
42,01/14/20 06:56:00,1.28,86,1,0,0,12.9,15.867
43,01/14/20 07:22:00,1.28,100,1,7,55.00550055,12.9,15.867
44,01/14/20 07:31:00,1.28,90,1,41,326.7326733,12.64,15.5472
45,01/14/20 07:32:00,1.28,90,1,60,478.5478548,12.64,15.5472
46,01/14/20 07:48:00,1.41,76,1,16,127.6127613,12.64,15.5472
47,01/14/20 07:49:00,1.66,82,1,0,0,12.64,15.5472
48,01/14/20 07:51:00,1.53,84,1,111,885.5885589,12.13,14.9199
